"","x"
"11","Its fastest phone that I have ever experienced There are no hiccups none what so ever Overall smooth experience between switching apps and regular functionsThe Display is to die forMagnificent Macro mode and Night mode  in cameraThere is just nothing wrong with itOverall an overwhelming experienceCall of Duty runs flawlessly The phone is so fast it takes some getting used toCharging speed as advertisedNo Complaints"
"12","Hi When I open my this most awaited phone I just saw  major Draw Backst The Camera Quality Dear One Plus maker if we paid you   then why we compromise with todays main features the CAMERAThe zoom quality is very poor pic are RIPUPDURING ZOOM SHOT OR WHEN YOU SEE THE CAPTURED IMAGE WITH ZOOMNIGHT PHOTOGRAPHY AND SHOT IS ALSO POORIN NIGHT PICTURES YOU SAW LOTS OF DOTS RIPUPIMAGE NOT CAPTURED IN HIS ORIGINAL COLORTHERE ARE LOTS OF ISSUES WITH CAMERA QUALITYSO THINK ABOUT YOUR USERS AND GIVE A BEST QUALITYHope ONE PLUS Team look and work on it and solve this issue in his next software updatesDear Amazon team pass this feedback to ONE PLUS TEAM"
"13","One of the best Oneplus phone ever Superb Amazon UFDUFFB One plus T pro is far better then iphone"
"14","Just as I expected beautiful and powerfulAnd yes it works with both my VERIZON  GOOGLE FI sim cards in place See PhotoGood seller and fast shipping"
"15","So far it has been a really good phone with excellent charge speed and a big HD screen The Oxygen OS is really intuitive and performs quite well My only gripe is that this phone drains its battery pretty fast and when you put a screen protector on it the fingerprint reader doesnt work hardly at all"
"16","I think I am the first one to write a review for this beauty   I ordered this at  PM in the night and It was there in my hand in the morning  AMI have used iPhone X Samsung s plus and Samsung s plus before coming to One Plus T  My experience so far with this Display Its amazing Sharpness brightness and Hz displays makes it one of the most beautiful displays Camera All of my previous mobiles had great cameras t Pro is nothing less than that If you are a professional photographer you might find differences For a normal user its just perfect Battery I am getting a very good battery backup When I go to bed its  T Warp charger is a booom Performance Blazing and Lightning fast One of the USP of OnePlus mobiles is its Oxygen OS After using iPhone and Samsungs One UI I can tell you that its the best Lots of gestures shortcuts and very lightweightThe only Con I think it has is its weight Its on the heavier side but after using it for few days now I am getting used to itGo for it guys  You wont regret"
"17","A lengthy  brutally honest review Its worth the read if you plan on purchasing this device I am a Design Specialist by Profession  also into Mobile Photography hence I was hooked in using the Pixel XL This phone is a worthy upgrade if youre transitioning from Galaxy S  Pixel  or  series  OnePlus  T  below  iPhone X or  and belowOnePlus T Pro is only an incremental upgrade over its predecessor OnePlus  Pro What has been improved over the  Pro  Faster Processor Snapdragon  Plus Adreno  Better Gaming Performance Better Haptic Motor Same as the T Fast Charging Warp T Technology Brighter Nits Upto  compared to  of  Pro Super Macro Mode Night reading Modes Android  out of the box Better Nightscape  These software updates will be eventually updated for the  Pro as well Whats in the Box OnePlus T Pro DeviceUser ManualTransparent Silicon CaseSIM Ejector ToolWarp T Charging BrickType C USB CableAnd some cool OnePlus Stickers Display Firstly OnePlus T Pro has a stunning display over its predecessors Im personally not a fan of notches nor do I click a lot of selfies so I prefer the OnePlus T Pros Fluid Display Feels more luxurious over the T Its marginally bigger to hold as well I would recommend using a case so that the edges dont feel slippery However you should also note that in different lighting conditions T Pro has glares at the curves due to the rounder corners which I believe is negligible Hz is smoooooth You would never want to get back to Hz once youre used to this Performance Snapdragon  Plus is one of the best CPUs out there at the time of writing this review and with Adrena  it takes gaming and multitasking to another league COD  PUBG juices out at their best with FPS  is indeed smooth than imagined  Plus is at par with the A Bionic from Apple Havent experienced any drops in frames RAM Management is splendid  GB RAM is recommended unless you want to get the  Gig McLaren Edition to save on a few seconds everyday Camera I honestly have to admit that its not the best out there as I was expecting a leap from its predecessors It still uses the Sony IMX   MP for its main sensor and its Telephoto at X optical X lossless and is at par with iPhone But when compared with the GCam Mod the OnePlus Camera seems to have improved a lot from its previous versions The Wide Angle is fairly okayish with some distortions being present at the edges Nightscape is now available for Wide Angle shots too Video If youre into Video Recording then be a bit disappointed to hear this as it isnt the best while it can still take average videos without much shake utilizing the OIS and EIS at P and just OIS at K FPS It still doesnt shoot K in wide angle Apple iPhone  takes the lead here OIS and EIS combined together has a lot of warping and rolling shutter which is a turn off for video producers Its still not an alternate for a Gimbal The videos look oversaturated too which can be fixed by shooting on a Third Party app like Filmic Pro Software This is one of the biggest features for you to switch to the OnePlus Stock Android was butter smooth while I missed out on a lot of simple gestures like Longer Screenshots Silence Button Customized Navigational elements  much more which lacked on the Stock OS from Google I would say Oxygen OS should be set as a benchmark for Google to include these incremental features on their upcoming flagships Oxygen OS has presently the best OS Experience for Android Battery Warp T is super fast It helps you charge from  in lesser time than an episode on Netflix Although not the fastest charger in the industry it still gets through a day on heavy usage What couldve been improved  Minor improvements on Camera No ToF sensor No Wireless Charging IP Rating Better silicon case should be included in their future upgrades Verdict No doubt that the ASUS Fans would recommend the ROG  ROG  is hands down the best gaming phone with  HZ Display but lacks majorly on other aspects like software updates Telephoto Camera Splash Proof Build Quality and security patches which are very essential for business professionals or regular consumers ASUS is also not known to provide regular updates to its consumers over the OnePlus which has a closely knit community among the developers and has more Brand Value than ASUS  nevertheless to mention that the OnePlus T Pro feels premium out of the boxIf youre planning to upgrade from a device almost  years old then this would be the best upgrade in case you require a phone with nonotch and curved screen T Pro feels very slippery when compared to the T I wish they made smaller devices Otherwise I would still recommend the T which is the best bang for your buckIf you still wish to own this but cannot afford the extra rupee on incremental updates Fast Charging  Plus  my suggestion would be is to go for the OnePlus  Pro Its still one of the best devices out there"
"18","Its fastest phone that I have ever experienced There are no hiccups none what so ever Overall smooth experience between switching apps and regular functionsThe Display is to die forMagnificent Macro mode and Night mode  in cameraThere is just nothing wrong with itOverall an overwhelming experienceCall of Duty runs flawlessly The phone is so fast it takes some getting used toCharging speed as advertisedNo Complaints"
"19","Hi When I open my this most awaited phone I just saw  major Draw Backst The Camera Quality Dear One Plus maker if we paid you   then why we compromise with todays main features the CAMERAThe zoom quality is very poor pic are RIPUPDURING ZOOM SHOT OR WHEN YOU SEE THE CAPTURED IMAGE WITH ZOOMNIGHT PHOTOGRAPHY AND SHOT IS ALSO POORIN NIGHT PICTURES YOU SAW LOTS OF DOTS RIPUPIMAGE NOT CAPTURED IN HIS ORIGINAL COLORTHERE ARE LOTS OF ISSUES WITH CAMERA QUALITYSO THINK ABOUT YOUR USERS AND GIVE A BEST QUALITYHope ONE PLUS Team look and work on it and solve this issue in his next software updatesDear Amazon team pass this feedback to ONE PLUS TEAM"
"20","One of the best Oneplus phone ever Superb Amazon UFDUFFB One plus T pro is far better then iphone"
"21","Just as I expected beautiful and powerfulAnd yes it works with both my VERIZON  GOOGLE FI sim cards in place See PhotoGood seller and fast shipping"
"22","So far it has been a really good phone with excellent charge speed and a big HD screen The Oxygen OS is really intuitive and performs quite well My only gripe is that this phone drains its battery pretty fast and when you put a screen protector on it the fingerprint reader doesnt work hardly at all"
"23","I think I am the first one to write a review for this beauty   I ordered this at  PM in the night and It was there in my hand in the morning  AMI have used iPhone X Samsung s plus and Samsung s plus before coming to One Plus T  My experience so far with this Display Its amazing Sharpness brightness and Hz displays makes it one of the most beautiful displays Camera All of my previous mobiles had great cameras t Pro is nothing less than that If you are a professional photographer you might find differences For a normal user its just perfect Battery I am getting a very good battery backup When I go to bed its  T Warp charger is a booom Performance Blazing and Lightning fast One of the USP of OnePlus mobiles is its Oxygen OS After using iPhone and Samsungs One UI I can tell you that its the best Lots of gestures shortcuts and very lightweightThe only Con I think it has is its weight Its on the heavier side but after using it for few days now I am getting used to itGo for it guys  You wont regret"
"24","A lengthy  brutally honest review Its worth the read if you plan on purchasing this device I am a Design Specialist by Profession  also into Mobile Photography hence I was hooked in using the Pixel XL This phone is a worthy upgrade if youre transitioning from Galaxy S  Pixel  or  series  OnePlus  T  below  iPhone X or  and belowOnePlus T Pro is only an incremental upgrade over its predecessor OnePlus  Pro What has been improved over the  Pro  Faster Processor Snapdragon  Plus Adreno  Better Gaming Performance Better Haptic Motor Same as the T Fast Charging Warp T Technology Brighter Nits Upto  compared to  of  Pro Super Macro Mode Night reading Modes Android  out of the box Better Nightscape  These software updates will be eventually updated for the  Pro as well Whats in the Box OnePlus T Pro DeviceUser ManualTransparent Silicon CaseSIM Ejector ToolWarp T Charging BrickType C USB CableAnd some cool OnePlus Stickers Display Firstly OnePlus T Pro has a stunning display over its predecessors Im personally not a fan of notches nor do I click a lot of selfies so I prefer the OnePlus T Pros Fluid Display Feels more luxurious over the T Its marginally bigger to hold as well I would recommend using a case so that the edges dont feel slippery However you should also note that in different lighting conditions T Pro has glares at the curves due to the rounder corners which I believe is negligible Hz is smoooooth You would never want to get back to Hz once youre used to this Performance Snapdragon  Plus is one of the best CPUs out there at the time of writing this review and with Adrena  it takes gaming and multitasking to another league COD  PUBG juices out at their best with FPS  is indeed smooth than imagined  Plus is at par with the A Bionic from Apple Havent experienced any drops in frames RAM Management is splendid  GB RAM is recommended unless you want to get the  Gig McLaren Edition to save on a few seconds everyday Camera I honestly have to admit that its not the best out there as I was expecting a leap from its predecessors It still uses the Sony IMX   MP for its main sensor and its Telephoto at X optical X lossless and is at par with iPhone But when compared with the GCam Mod the OnePlus Camera seems to have improved a lot from its previous versions The Wide Angle is fairly okayish with some distortions being present at the edges Nightscape is now available for Wide Angle shots too Video If youre into Video Recording then be a bit disappointed to hear this as it isnt the best while it can still take average videos without much shake utilizing the OIS and EIS at P and just OIS at K FPS It still doesnt shoot K in wide angle Apple iPhone  takes the lead here OIS and EIS combined together has a lot of warping and rolling shutter which is a turn off for video producers Its still not an alternate for a Gimbal The videos look oversaturated too which can be fixed by shooting on a Third Party app like Filmic Pro Software This is one of the biggest features for you to switch to the OnePlus Stock Android was butter smooth while I missed out on a lot of simple gestures like Longer Screenshots Silence Button Customized Navigational elements  much more which lacked on the Stock OS from Google I would say Oxygen OS should be set as a benchmark for Google to include these incremental features on their upcoming flagships Oxygen OS has presently the best OS Experience for Android Battery Warp T is super fast It helps you charge from  in lesser time than an episode on Netflix Although not the fastest charger in the industry it still gets through a day on heavy usage What couldve been improved  Minor improvements on Camera No ToF sensor No Wireless Charging IP Rating Better silicon case should be included in their future upgrades Verdict No doubt that the ASUS Fans would recommend the ROG  ROG  is hands down the best gaming phone with  HZ Display but lacks majorly on other aspects like software updates Telephoto Camera Splash Proof Build Quality and security patches which are very essential for business professionals or regular consumers ASUS is also not known to provide regular updates to its consumers over the OnePlus which has a closely knit community among the developers and has more Brand Value than ASUS  nevertheless to mention that the OnePlus T Pro feels premium out of the boxIf youre planning to upgrade from a device almost  years old then this would be the best upgrade in case you require a phone with nonotch and curved screen T Pro feels very slippery when compared to the T I wish they made smaller devices Otherwise I would still recommend the T which is the best bang for your buckIf you still wish to own this but cannot afford the extra rupee on incremental updates Fast Charging  Plus  my suggestion would be is to go for the OnePlus  Pro Its still one of the best devices out there"
"25","Its fastest phone that I have ever experienced There are no hiccups none what so ever Overall smooth experience between switching apps and regular functionsThe Display is to die forMagnificent Macro mode and Night mode  in cameraThere is just nothing wrong with itOverall an overwhelming experienceCall of Duty runs flawlessly The phone is so fast it takes some getting used toCharging speed as advertisedNo Complaints"
"26","Hi When I open my this most awaited phone I just saw  major Draw Backst The Camera Quality Dear One Plus maker if we paid you   then why we compromise with todays main features the CAMERAThe zoom quality is very poor pic are RIPUPDURING ZOOM SHOT OR WHEN YOU SEE THE CAPTURED IMAGE WITH ZOOMNIGHT PHOTOGRAPHY AND SHOT IS ALSO POORIN NIGHT PICTURES YOU SAW LOTS OF DOTS RIPUPIMAGE NOT CAPTURED IN HIS ORIGINAL COLORTHERE ARE LOTS OF ISSUES WITH CAMERA QUALITYSO THINK ABOUT YOUR USERS AND GIVE A BEST QUALITYHope ONE PLUS Team look and work on it and solve this issue in his next software updatesDear Amazon team pass this feedback to ONE PLUS TEAM"
"27","One of the best Oneplus phone ever Superb Amazon UFDUFFB One plus T pro is far better then iphone"
"28","Just as I expected beautiful and powerfulAnd yes it works with both my VERIZON  GOOGLE FI sim cards in place See PhotoGood seller and fast shipping"
"29","So far it has been a really good phone with excellent charge speed and a big HD screen The Oxygen OS is really intuitive and performs quite well My only gripe is that this phone drains its battery pretty fast and when you put a screen protector on it the fingerprint reader doesnt work hardly at all"
"30","I think I am the first one to write a review for this beauty   I ordered this at  PM in the night and It was there in my hand in the morning  AMI have used iPhone X Samsung s plus and Samsung s plus before coming to One Plus T  My experience so far with this Display Its amazing Sharpness brightness and Hz displays makes it one of the most beautiful displays Camera All of my previous mobiles had great cameras t Pro is nothing less than that If you are a professional photographer you might find differences For a normal user its just perfect Battery I am getting a very good battery backup When I go to bed its  T Warp charger is a booom Performance Blazing and Lightning fast One of the USP of OnePlus mobiles is its Oxygen OS After using iPhone and Samsungs One UI I can tell you that its the best Lots of gestures shortcuts and very lightweightThe only Con I think it has is its weight Its on the heavier side but after using it for few days now I am getting used to itGo for it guys  You wont regret"
"31","A lengthy  brutally honest review Its worth the read if you plan on purchasing this device I am a Design Specialist by Profession  also into Mobile Photography hence I was hooked in using the Pixel XL This phone is a worthy upgrade if youre transitioning from Galaxy S  Pixel  or  series  OnePlus  T  below  iPhone X or  and belowOnePlus T Pro is only an incremental upgrade over its predecessor OnePlus  Pro What has been improved over the  Pro  Faster Processor Snapdragon  Plus Adreno  Better Gaming Performance Better Haptic Motor Same as the T Fast Charging Warp T Technology Brighter Nits Upto  compared to  of  Pro Super Macro Mode Night reading Modes Android  out of the box Better Nightscape  These software updates will be eventually updated for the  Pro as well Whats in the Box OnePlus T Pro DeviceUser ManualTransparent Silicon CaseSIM Ejector ToolWarp T Charging BrickType C USB CableAnd some cool OnePlus Stickers Display Firstly OnePlus T Pro has a stunning display over its predecessors Im personally not a fan of notches nor do I click a lot of selfies so I prefer the OnePlus T Pros Fluid Display Feels more luxurious over the T Its marginally bigger to hold as well I would recommend using a case so that the edges dont feel slippery However you should also note that in different lighting conditions T Pro has glares at the curves due to the rounder corners which I believe is negligible Hz is smoooooth You would never want to get back to Hz once youre used to this Performance Snapdragon  Plus is one of the best CPUs out there at the time of writing this review and with Adrena  it takes gaming and multitasking to another league COD  PUBG juices out at their best with FPS  is indeed smooth than imagined  Plus is at par with the A Bionic from Apple Havent experienced any drops in frames RAM Management is splendid  GB RAM is recommended unless you want to get the  Gig McLaren Edition to save on a few seconds everyday Camera I honestly have to admit that its not the best out there as I was expecting a leap from its predecessors It still uses the Sony IMX   MP for its main sensor and its Telephoto at X optical X lossless and is at par with iPhone But when compared with the GCam Mod the OnePlus Camera seems to have improved a lot from its previous versions The Wide Angle is fairly okayish with some distortions being present at the edges Nightscape is now available for Wide Angle shots too Video If youre into Video Recording then be a bit disappointed to hear this as it isnt the best while it can still take average videos without much shake utilizing the OIS and EIS at P and just OIS at K FPS It still doesnt shoot K in wide angle Apple iPhone  takes the lead here OIS and EIS combined together has a lot of warping and rolling shutter which is a turn off for video producers Its still not an alternate for a Gimbal The videos look oversaturated too which can be fixed by shooting on a Third Party app like Filmic Pro Software This is one of the biggest features for you to switch to the OnePlus Stock Android was butter smooth while I missed out on a lot of simple gestures like Longer Screenshots Silence Button Customized Navigational elements  much more which lacked on the Stock OS from Google I would say Oxygen OS should be set as a benchmark for Google to include these incremental features on their upcoming flagships Oxygen OS has presently the best OS Experience for Android Battery Warp T is super fast It helps you charge from  in lesser time than an episode on Netflix Although not the fastest charger in the industry it still gets through a day on heavy usage What couldve been improved  Minor improvements on Camera No ToF sensor No Wireless Charging IP Rating Better silicon case should be included in their future upgrades Verdict No doubt that the ASUS Fans would recommend the ROG  ROG  is hands down the best gaming phone with  HZ Display but lacks majorly on other aspects like software updates Telephoto Camera Splash Proof Build Quality and security patches which are very essential for business professionals or regular consumers ASUS is also not known to provide regular updates to its consumers over the OnePlus which has a closely knit community among the developers and has more Brand Value than ASUS  nevertheless to mention that the OnePlus T Pro feels premium out of the boxIf youre planning to upgrade from a device almost  years old then this would be the best upgrade in case you require a phone with nonotch and curved screen T Pro feels very slippery when compared to the T I wish they made smaller devices Otherwise I would still recommend the T which is the best bang for your buckIf you still wish to own this but cannot afford the extra rupee on incremental updates Fast Charging  Plus  my suggestion would be is to go for the OnePlus  Pro Its still one of the best devices out there"
"32","Its fastest phone that I have ever experienced There are no hiccups none what so ever Overall smooth experience between switching apps and regular functionsThe Display is to die forMagnificent Macro mode and Night mode  in cameraThere is just nothing wrong with itOverall an overwhelming experienceCall of Duty runs flawlessly The phone is so fast it takes some getting used toCharging speed as advertisedNo Complaints"
"33","Hi When I open my this most awaited phone I just saw  major Draw Backst The Camera Quality Dear One Plus maker if we paid you   then why we compromise with todays main features the CAMERAThe zoom quality is very poor pic are RIPUPDURING ZOOM SHOT OR WHEN YOU SEE THE CAPTURED IMAGE WITH ZOOMNIGHT PHOTOGRAPHY AND SHOT IS ALSO POORIN NIGHT PICTURES YOU SAW LOTS OF DOTS RIPUPIMAGE NOT CAPTURED IN HIS ORIGINAL COLORTHERE ARE LOTS OF ISSUES WITH CAMERA QUALITYSO THINK ABOUT YOUR USERS AND GIVE A BEST QUALITYHope ONE PLUS Team look and work on it and solve this issue in his next software updatesDear Amazon team pass this feedback to ONE PLUS TEAM"
"34","One of the best Oneplus phone ever Superb Amazon UFDUFFB One plus T pro is far better then iphone"
"35","Just as I expected beautiful and powerfulAnd yes it works with both my VERIZON  GOOGLE FI sim cards in place See PhotoGood seller and fast shipping"
"36","So far it has been a really good phone with excellent charge speed and a big HD screen The Oxygen OS is really intuitive and performs quite well My only gripe is that this phone drains its battery pretty fast and when you put a screen protector on it the fingerprint reader doesnt work hardly at all"
"37","I think I am the first one to write a review for this beauty   I ordered this at  PM in the night and It was there in my hand in the morning  AMI have used iPhone X Samsung s plus and Samsung s plus before coming to One Plus T  My experience so far with this Display Its amazing Sharpness brightness and Hz displays makes it one of the most beautiful displays Camera All of my previous mobiles had great cameras t Pro is nothing less than that If you are a professional photographer you might find differences For a normal user its just perfect Battery I am getting a very good battery backup When I go to bed its  T Warp charger is a booom Performance Blazing and Lightning fast One of the USP of OnePlus mobiles is its Oxygen OS After using iPhone and Samsungs One UI I can tell you that its the best Lots of gestures shortcuts and very lightweightThe only Con I think it has is its weight Its on the heavier side but after using it for few days now I am getting used to itGo for it guys  You wont regret"
